SubjectLabel,SpearmanRho
P0001,-0.0090564435300433694
P0012,0.038276195037934932
P0013,0.089161629183259983
P0022,0.042656709656315989
P0026,-0.03138102880058076
P0046,0.17666048117570671
P0066,-0.096633115437702727
P0073,0.11643462230699694
P0113,0.085900357898988824
P0116,0.03599196454859227
P0125,0.087514879867866061
P0149,0.11143780152760099
P0161,-0.018190647316838702
P0166,-0.013762877250564057
P0167,0.067126906030258546
P0170,0.068507834316417743
P0171,0.053461564556690398
P0172,0.058226112866961499
P0174,0.066095567999717164
P0193,0.10872056612229931
P0194,0.059336692524915344
P0198,0.10737510462939108
P0202,0.028687115972381751
P0203,0.14192802337357557
P0207,0.067437370249969583
P0208,0.0067541175279946042
P0221,0.060617780807341592
P0230,0.081461857766746221
P0242,0.14985061704730457
P0256,0.03937187693845226
P0257,0.089573097328293411
P0274,0.11751500975384523
P0277,-0.029303553644301466
P0278,0.0311258355121431
P0294,-0.054424547078370349
P0295,0.16135108051878255
P0307,0.0097360144230012532
P0313,0.013335742827600442
P0335,0.0048611233603900999
P0338,-0.057934258266706201
P0341,0.014228800419096688
P0354,0.037641866273414155
P0360,0.072932592168533816
P0369,0.046810756990179607
